Href,Type,Name,Teacher,Level,Duration,Date,Votes
https://www.pluralsight.com/browse?=&q=office%20applications&type=all,Course,Building Asynchronous Applications in Rust with Tokio,Edward Curren,Advanced,56m,2024-09-18,
https://www.pluralsight.com/browse?=&q=security%20testing&type=all&sort=default,Course,Testing in Node.js,Pluralsight,Beginner,26m,2024-09-18,
https://www.pluralsight.com/browse?=&q=machine%20learning&type=all&sort=default,Course,AWS Maching Learning and Artificial Intelligence Fundamentals,Noreen Hasan,Beginner,23m,2024-09-18,
https://www.pluralsight.com/browse?=&q=network%20architecture&type=all&sort=default,Course,Network Implementation for CompTIA Network+,Ross Bagurdes,Beginner,1h 15m,2024-09-17,
https://www.pluralsight.com/browse?=&q=network%20architecture&type=all&sort=default,Course,Angular Architecture Playbook,Zachary Bennett,Advanced,52m,2024-09-17,
https://www.pluralsight.com/browse?=&q=machine%20learning&type=all&sort=default,Course,Machine Learning in the Enterprise,Google Cloud,Beginner,2h 8m,2024-09-17,
https://www.pluralsight.com/browse?=&q=security%20architecture%20engineering&type=all&sort=default,Course,Angular Architecture Playbook,Zachary Bennett,Advanced,52m,2024-09-17,
https://www.pluralsight.com/browse?=&q=cloud%20architecture%20design&type=all&sort=default,Course,Angular Architecture Playbook,Zachary Bennett,Advanced,52m,2024-09-17,
https://www.pluralsight.com/browse?=&q=machine%20learning&type=all&sort=default,Course,AWS Certified Machine Learning - Specialty (MLS-C01): Exam Preparation,Saravanan Dhandapani,Advanced,32m,2024-09-16,
https://www.pluralsight.com/browse?=&q=client%20operating%20systems=&type=all&sort=default,Course,Network Operations for CompTIA Network+,Tim Warner,Beginner,1h 49m,2024-09-13,
https://www.pluralsight.com/browse?=&q=security%20risk%20compliance&type=all&sort=default,Course,Risk Management in Generative AI Implementation,Tim Boles,Beginner,14m,2024-09-13,
https://www.pluralsight.com/browse?=&q=security%20operations&type=all&sort=default,Course,Network Operations for CompTIA Network+,Tim Warner,Beginner,1h 49m,2024-09-13,
https://www.pluralsight.com/browse?=&q=network%20architecture&type=all&sort=default,Course,Network Operations for CompTIA Network+,Tim Warner,Beginner,1h 49m,2024-09-13,
https://www.pluralsight.com/browse?=&q=network%20architecture&type=all&sort=default,Course,Networking Concepts: Cloud and Next Generation Networks for CompTIA Network+,Ross Bagurdes,Beginner,53m,2024-09-13,
https://www.pluralsight.com/browse?=&q=machine%20learning&type=all&sort=default,Course,Introduction to AI and Machine Learning on Google Cloud,Google Cloud,Beginner,2h 50m,2024-09-13,
https://www.pluralsight.com/browse?=&q=network%20architecture&type=all&sort=default,Course,Zero Trust Network Security,Owen Dubiel,Beginner,1h 24m,2024-09-12,
https://www.pluralsight.com/browse?=&q=cloud%20platforms&type=all&sort=default,Course,Logging and Monitoring in Google Cloud,Google Cloud,Beginner,2h,2024-09-12,
https://www.pluralsight.com/browse?=&q=cloud%20platforms&type=all&sort=default,Course,Hybrid Cloud Modernizing Applications with Anthos,Google Cloud,Beginner,58m,2024-09-12,
https://www.pluralsight.com/browse?=&q=cloud%20platforms&type=all&sort=default,Course,Observability in Google Cloud,Google Cloud,Beginner,1h 28m,2024-09-12,
https://www.pluralsight.com/browse?=&q=office%20applications&type=all,Course,Hybrid Cloud Modernizing Applications with Anthos,Google Cloud,Beginner,58m,2024-09-12,
https://www.pluralsight.com/browse?=&q=security%20awareness&type=all,Course,Zero Trust Network Security,Owen Dubiel,Beginner,1h 24m,2024-09-12,
https://www.pluralsight.com/browse?=&q=network%20architecture&type=all&sort=default,Course,Networking Concepts: Network and Security Appliances for CompTIA Network+,Ross Bagurdes,Beginner,55m,2024-09-12,
https://www.pluralsight.com/browse?=&q=configuration%20management&type=all&sort=default,Course,Metasploit Concepts and Basic Configuration,Kevin James,Intermediate,59m,2024-09-12,
https://www.pluralsight.com/browse?=&q=cloud%20platforms&type=all&sort=default,Course,Networking in Google Cloud: Hands-On Practice,Google Cloud,Beginner,7m,2024-09-11,
https://www.pluralsight.com/browse?=&q=network%20architecture&type=all&sort=default,Course,Network Troubleshooting: Common Issues and Solutions for CompTIA Network+,Ross Bagurdes,Beginner,1h 12m,2024-09-10,
